part_no,cost_type,purchase_type,material_type,process,customer
1243103101,직구입,FELT 외,FELT 외,조립,동국실업
1249203081,직구입,FELT 외,FELT 외,조립,동국실업
84654G6100,직구입,FELT 외,FELT 외,조립,동국실업
84654G6200,직구입,FELT 외,FELT 외,조립,동국실업
84654G6700,직구입,FELT 외,FELT 외,조립,동국실업
84654G6800,직구입,FELT 외,FELT 외,조립,동국실업
84656G6000,직구입,FELT 외,FELT 외,조립,동국실업
84656H8100,직구입,FELT 외,FELT 외,조립,동국실업
84656H8800,직구입,FELT 외,FELT 외,조립,동국실업
848393W000,직구입,FELT 외,FELT 외,조립,동국실업
93310G6000,직구입,FELT 외,FELT 외,조립,동국실업
93310G6010,직구입,FELT 외,FELT 외,조립,동국실업
93310G6020,직구입,FELT 외,FELT 외,조립,동국실업
93310G6900,직구입,FELT 외,FELT 외,조립,동국실업
93310G6910,직구입,FELT 외,FELT 외,조립,동국실업
93310G6160,직구입,FELT 외,FELT 외,조립,동국실업
93310G6170,직구입,FELT 외,FELT 외,조립,동국실업
93310G6180,직구입,FELT 외,FELT 외,조립,동국실업
93310G6200,직구입,FELT 외,FELT 외,조립,동국실업
93310G6210,직구입,FELT 외,FELT 외,조립,동국실업
93310G6830,직구입,FELT 외,FELT 외,조립,동국실업
ABS XR490-9001 BK,직구입,FELT 외,FELT 외,사출,동국실업
03041-00272-2,직구입,FELT 외,FELT 외,조립,모트렉스
03041-00280-2,직구입,FELT 외,FELT 외,조립,모트렉스
IH830C ID195,직구입,사출,사출,사출,LG
847473-Y000,직구입,FELT 외,FELT 외,조립,동국실업
FAB34180701,직구입,FELT 외,FELT 외,조립,LG
MCR66866801,외주가공,증착,증착,증착,모트렉스
MEY64214001,외주가공,증착,증착,증착,모트렉스
MBL68671501,직구입,FELT 외,FELT 외,영업,공용
MBL66757701,직구입,FELT 외,FELT 외,영업,공용
MBL66497301,직구입,FELT 외,FELT 외,영업,공용
MBL66840701,직구입,FELT 외,FELT 외,영업,공용
03222-00001-2,직구입,FELT 외,FELT 외,조립,모트렉스
EBL7IBBZHRC1,직구입,도장,도장,도장,동아전기부품
EBL7OAZZHRC1,직구입,도장,도장,도장,동아전기부품
ZCNXBTSTODB1,직구입,사출,사출,사출,동아전기부품
MGC66434401,와주가공,도장,도장,도장,LG
04231-00118-2,직구입,FELT 외,FELT 외,조립,모트렉스
590*400,직구입,포장,포장,포장,공용
300*235,직구입,포장,포장,포장,공용
540*380*220,직구입,포장,포장,포장,공용
525*325*190,직구입,포장,포장,포장,공용
525*325*190,직구입,포장,포장,포장,공용
525*365,직구입,포장,포장,포장,공용
525*365*197,직구입,포장,포장,포장,공용
525*365*197,직구입,포장,포장,포장,공용
550*400*300,직구입,포장,포장,포장,공용
535*435,직구입,포장,포장,포장,공용
